Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2014-10-30,26-101,LAC,,OKC,W (+3),1,35:18,4,6,.667,0,0,,0,0,,5,5,10,1,1,0,2,2,8,9.3,+4,23.0
2,2,2014-10-31,26-102,LAC,@,LAL,W (+7),1,38:28,5,5,1.000,0,0,,1,2,.500,4,9,13,0,1,2,3,5,11,12.0,+4,33.3
3,3,2014-11-02,26-104,LAC,,SAC,L (-6),1,25:26,2,5,.400,0,0,,0,0,,3,6,9,1,2,4,0,4,4,9.1,-9,28.8
4,4,2014-11-03,26-105,LAC,,UTA,W (+6),1,38:14,4,5,.800,0,0,,0,0,,4,1,5,0,0,1,1,4,8,7.3,+5,15.8
5,5,2014-11-05,26-107,LAC,@,GSW,L (-17),1,35:41,7,10,.700,0,0,,3,4,.750,2,11,13,1,2,2,1,2,17,19.4,-8,43.8
6,6,2014-11-08,26-110,LAC,,POR,W (+4),1,40:17,3,4,.750,0,0,,0,2,.000,6,8,14,2,5,1,1,2,6,15.5,0,38.0
7,7,2014-11-10,26-112,LAC,,SAS,L (-4),1,37:06,3,5,.600,0,0,,0,0,,3,10,13,0,2,5,1,2,6,12.5,+1,35.8
8,8,2014-11-15,26-117,LAC,,PHO,W (+13),1,34:29,4,4,1.000,0,0,,4,7,.571,3,15,18,3,0,7,4,5,12,17.2,+6,52.5
9,9,2014-11-17,26-119,LAC,,CHI,L (-16),1,36:01,5,6,.833,0,0,,0,2,.000,5,12,17,0,0,3,0,0,10,16.2,-8,38.8
10,10,2014-11-19,26-121,LAC,@,ORL,W (+24),1,24:15,1,2,.500,0,0,,0,2,.000,1,10,11,0,0,2,0,2,2,4.5,+1,19.8
11,11,2014-11-20,26-122,LAC,@,MIA,W (+17),1,31:05,6,6,1.000,0,0,,0,2,.000,0,11,11,1,0,0,0,2,12,12.6,+31,28.8
12,12,2014-11-23,26-125,LAC,@,MEM,L (-16),1,20:27,1,2,.500,0,0,,0,0,,2,1,3,0,2,0,2,4,2,1.1,-8,8.8
13,13,2014-11-24,26-126,LAC,@,CHO,W (+21),1,39:28,4,5,.800,0,0,,3,4,.750,2,10,12,0,1,1,2,2,11,12.0,+27,30.5
14,14,2014-11-26,26-128,LAC,@,DET,W (+6),1,32:42,2,4,.500,0,0,,0,0,,3,8,11,0,0,2,0,3,4,6.7,+1,21.8
15,15,2014-11-28,26-130,LAC,@,HOU,W (+17),1,32:37,3,7,.429,0,0,,1,3,.333,2,11,13,0,0,3,1,4,7,6.7,+22,28.8
16,16,2014-11-29,26-131,LAC,@,UTA,W (+16),1,30:38,4,4,1.000,0,0,,0,0,,4,8,12,1,0,3,0,2,8,14.0,+32,30.5
17,17,2014-12-01,26-133,LAC,,MIN,W (+26),1,26:12,5,5,1.000,0,0,,1,2,.500,2,11,13,2,1,4,4,2,11,14.2,+21,39.8
18,18,2014-12-03,26-135,LAC,,ORL,W (+28),1,26:49,3,6,.500,0,0,,2,6,.333,5,11,16,0,1,3,1,0,8,12.3,+23,35.5
19,19,2014-12-06,26-138,LAC,,NOP,W (+20),1,35:22,4,4,1.000,0,0,,0,1,.000,4,14,18,2,0,5,1,4,8,15.7,+24,43.0
